unigram	unigram_freq
geweldige	11
lid	11
staatsveiligheid	11
senuwees	11
sondag	11
skuiling	11
bely	11
uitstekend	11
begrafnis	11
spore	11
kersfees	11
say	11
dier	11
daag	11
gesels	11
dophou	11
voorlopig	11
sofia	11
episode	11
priester	11
nemorino	11
begeerte	11
bereid	11
wed	11
vorder	11
leerlinge	11
philippe	11
smart	11
held	11
ingelig	11
heeldag	11
aanskou	11
opgestel	11
erflating	11
ramp	11
wond	11
oudiënsie	11
effek	11
gespanne	11
atmosfeer	11
goethe	11
afstand	11
jerska	11
brein	11
wiesler	11
boere	11
vertoon	11
woordeboek	11
huidige	11
jaag	11
egipte	11
oudste	11
beer	11
margueritte	11
stene	11
gevangenis	11
onskuldig	11
vingers	11
vashou	11
trap	11
makeer	11
hemp	11
madamme	11
private	11
fbi	11
ontwerp	11
broek	11
kêrels	11
gedagte	11
vliegtuig	11
stam	11
dorus	11
egter	11
ondervraging	11
marguerite	11
do	11
hekke	11
park	11
belediging	11
solidatiteit	11
demoon	11
danke	11
flou	11
gedig	11
will	11
hek	11
ruimte	11
nutteloos	11
stink	11
kaas	11
revolusie	11
sakke	11
frau	11
vlak	11
herinneringe	11
batthyani	11
bakboord	11
verteenwoordig	11
masker	11
spaar	11
geweld	11
geduld	11
beskerming	11
now	11
orkes	11
passie	11
gehuil	11
koste	11
verdere	11
wegkruip	11
kus	11
maatskappy	11
pastoor	11
qélus	11
toemaak	11
asemhaal	11
via	11
wilhelm	11
carl	11
daarheen	11
aantrek	11
beskeie	11
gehaal	11
klank	11
nago	11
gedagtes	11
sleep	11
meng	11
henri	11
ophang	11
onskuldige	11
roem	11
divisie	11
buig	11
ll	11
tweeling	11
pappatjie	11
onbekende	11
verneem	11
uylenburgh	11
toeval	10
delilah	10
anti	10
goeienaand	10
openbare	10
ducky	10
mes	10
intussen	10
uitgevind	10
wreed	10
aangehou	10
vermoë	10
trappe	10
ooreengekom	10
gesigte	10
nege	10
vervang	10
mossad	10
vliegveld	10
goud	10
woedend	10
yusef	10
verkondig	10
oorkom	10
lêer	10
klaarmaak	10
belangriker	10
hoogste	10
saterdag	10
gearresteer	10
kroeg	10
guardian	10
franks	10
gebeure	10
verdrink	10
vlermuis	10
pensioen	10
idiote	10
skape	10
omgewing	10
chinese	10
swakheid	10
toer	10
buitelandse	10
morten	10
tim	10
saal	10
bedrieër	10
châtillon	10
nordiese	10
dik	10
amsterdam	10
verafsku	10
uittrek	10
antoine	10
iran	10
vodka	10
verklaring	10
leë	10
duisternis	10
bottel	10
verloofde	10
toegang	10
toneelspel	10
nazi	10
prof	10
vance	10
studente	10
pappie	10
jans	10
jerome	10
effens	10
rigting	10
enkel	10
jurgen	10
georg	10
handel	10
stront	10
sir	10
buitengewoon	10
aangekom	10
stella	10
nuuskierig	10
molière	10
burger	10
maag	10
hoogte	10
hemelsnaam	10
toevallig	10
maan	10
mede	10
nasionale	10
maren	10
eggenoot	10
sel	10
aangesluit	10
begaan	10
skilders	10
geweier	10
dalberg	10
pynlik	10
rang	10
sterkte	10
miljoene	10
schepen	10
sosialisme	10
dinee	10
oproep	10
gewond	10
poussin	10
karakter	10
tragedie	10
regop	10
sieland	10
400	10
vies	10
oseaan	10
pleeg	10
bedrog	10
gesweer	10
10000	10
geskei	10
trane	10
opvoeding	10
kultuur	10
roer	10
afghanistan	10
are	10
tamatie	10
stede	10
skelm	10
opgestaan	10
piramides	10
sosialistiese	10
gereeld	10
bok	10
missie	10
with	10
cornelis	10
middernag	10
opinie	10
agnes	10
lane	10
vel	10
toilet	10
navy	10
baard	10
honderde	10
genadig	10
regterhand	10
braaf	10
simpatie	10
konsert	10
stasi	10
skof	10
juwele	10
clement	10
london	10
eeue	10
verbeter	10
tans	10
gespaar	10
plant	10
wegjaag	10
inlig	10
vriendelik	10
francine	10
gevolge	10
sus	10
blaas	10
agteruit	10
klok	10
moskou	10
oulike	10
aanpas	10
marsjeer	10
beveg	10
plante	10
come	10
gemaklik	10
sëen	10
armes	10
kamp	10
nogtans	9
planeet	9
