norm,adjusted r,adjusted r-squared,r-squared,r,dataset,eval_type,normalized,var,language,dim,window,alg,family
body_object_interaction_mean,0.0,-0.173031735373778,-0.36038728990101443,0.0,Clarke2024.csv,norms,False,,th,300,4,cbow,word2vec
aoa_mean,0.0,-2.3157610598396334,-3.53547016174546,0.0,Clarke2024.csv,norms,False,,th,300,4,cbow,word2vec
,0.16930369503950926,0.028663741154031155,0.061760398935591765,0.24851639570779183,th.subs.2018.tsv,counts,False,unigram_freq,th,300,4,cbow,word2vec
,0.14735755122616756,0.021714247903372598,0.061524921499982343,0.24804217685704652,th.wiki.2018.tsv,counts,False,unigram_freq,th,300,4,cbow,word2vec
imagine_mean,0.7332970296820366,0.5377245337404977,0.8229409530967713,0.9071609300982771,Clarke2024.csv,norms,True,,th,300,4,cbow,word2vec
body_object_interaction_mean,0.5008751477371194,0.2508759136206811,0.5225197008854584,0.7228552419990176,Clarke2024.csv,norms,True,,th,300,4,cbow,word2vec
aoa_mean,0.4522679610991188,0.20454630863675405,0.3122806508070832,0.5588207680527659,Clarke2024.csv,norms,True,,th,300,4,cbow,word2vec
,0.15389866493082163,0.02368479906748931,0.051032509373318546,0.22590376130847964,th.subs.2018.tsv,counts,True,unigram_freq,th,300,4,cbow,word2vec
,0.11449271059623231,0.013108580779672606,0.03714171483324874,0.19272185873234188,th.wiki.2018.tsv,counts,True,unigram_freq,th,300,4,cbow,word2vec
imagine_mean,0.671848112695419,0.45137988653239636,0.6907979285374143,0.8311425440545167,Clarke2024.csv,norms,False,,th,300,4,sg,fasttext
body_object_interaction_mean,0.15296647589920884,0.023398742749023236,0.04873446751369409,0.2207588447009408,Clarke2024.csv,norms,False,,th,300,4,sg,fasttext
aoa_mean,0.0,-0.061701747246984316,-0.09419999761736197,0.0,Clarke2024.csv,norms,False,,th,300,4,sg,fasttext
,0.10218517163143857,0.010441809301346559,0.022498469568053625,0.14999489847342684,th.subs.2018.tsv,counts,False,unigram_freq,th,300,4,sg,fasttext
,0.09340861646881125,0.008725169630617478,0.024721803812251475,0.15723168832093445,th.wiki.2018.tsv,counts,False,unigram_freq,th,300,4,sg,fasttext
