var,adjusted r,adjusted r-squared,r-squared,r,language,dim,window,algo,dataset,data_source
unigram_freq,0.0378217435494243,0.00143048428511842,0.00510764625878019,0.0714677987542654,af,300,6,cbow,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.231014561596076,0.0533677276694274,0.047947853651878,0.218969983449509,af,300,6,sg,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0350224029532627,0.0012265687086207,0.00437955113586219,0.0661781771875155,af,300,6,sg,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.250350583539853,0.0626754146787449,0.0563102785488988,0.237297868825025,af,500,1,cbow,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.029636158538781,0.000878301892935761,0.00313603960854525,0.0560003536466088,af,500,1,cbow,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.227373037506523,0.0516984981849425,0.0464481463469457,0.215518320211869,af,500,1,sg,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.03563318611627,0.00126972395279674,0.00453364001593976,0.0673323103416165,af,500,1,sg,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.288792639390907,0.0834011885663663,0.0749312020279938,0.273735642597002,af,500,2,cbow,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0375697191923848,0.00141148380019465,0.00503980367096185,0.0709915746477133,af,500,2,cbow,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.226887603012514,0.051477984400764,0.0462500273129575,0.215058195177393,af,500,2,sg,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0365869025832299,0.00133860144063476,0.00477957200326035,0.0691344487448938,af,500,2,sg,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.284246262094183,0.0807959375145147,0.0725905328330387,0.269426303157355,af,500,3,cbow,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0352029160195061,0.0012392452962764,0.00442481379703735,0.0665192738763537,af,500,3,cbow,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.235185353846964,0.0553121506641215,0.0496948066000049,0.222923320000409,af,500,3,sg,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0251568750903052,0.00063286836430922,0.0022597016736865,0.0475363195218824,af,500,3,sg,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
unigram_freq,0.28455461766663,0.0809713304354022,0.0727481133497581,0.269718581765807,af,500,4,cbow,dedup.af.words.unigrams.tsv,Subtitles
unigram_freq,0.0367792261992454,0.00135271147981526,0.00482995290543542,0.0694978625961649,af,500,4,cbow,dedup.afwiki-meta.words.unigrams.tsv,Wikipedia
